,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,insured_zip_class
208,48,IN,250/500,500,1451.54,MALE,JD,adm-clerical,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,13,4,NO,2,3,NO,7230,14460,43380,Mercedes,2003,N,47
209,53,IN,250/500,500,767.14,MALE,Associate,sales,reading,not-in-family,25500,-36700,Parked Car,No Collision,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,1760,880,6160,Suburu,2002,N,46
210,24,OH,250/500,2000,1620.89,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,Vehicle Theft,No Collision,Minor Damage,Police,NC,Hillsdale,8621 Best Ridge,7,1,NO,2,0,NO,1020,1020,4080,Toyota,2015,N,46
211,37,IN,500/1000,2000,1048.46,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,Vehicle Theft,No Collision,Trivial Damage,,OH,Columbus,3878 Tree Lane,9,1,Unknown,1,2,Unknown,1180,590,5310,Dodge,1999,N,46
212,50,OH,100/300,1000,1538.26,MALE,High School,sales,yachting,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,8580,4290,21450,Volkswagen,2009,N,61
213,40,OH,500/1000,2000,1217.69,FEMALE,MD,prof-specialty,reading,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,6,3,Unknown,1,0,Unknown,9720,9720,34020,Dodge,2004,Y,44
214,33,IN,100/300,2000,1362.64,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,3414 Elm Ave,11,1,YES,1,3,Unknown,6780,13560,61020,Suburu,2009,Y,45
215,43,OH,100/300,1000,1279.13,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,5,3,Unknown,1,2,YES,7370,14740,58960,Audi,2006,Y,61
216,26,IL,100/300,2000,924.72,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,5260,10520,47340,Audi,2008,N,43
217,28,OH,250/500,1000,1019.44,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,Vehicle Theft,No Collision,Trivial Damage,,NC,Springfield,9742 5th Ridge,17,1,Unknown,2,1,NO,1440,720,5040,BMW,2004,N,43
218,46,IL,500/1000,500,1314.6,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,8782 3rd St,0,1,Unknown,2,3,Unknown,12780,6390,51120,Saab,1998,Y,45
219,43,OH,100/300,1000,1515.18,MALE,College,priv-house-serv,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,9260,9260,41670,BMW,1999,N,44
220,44,OH,250/500,2000,1649.18,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,2,YES,11160,5580,44640,Honda,2009,Y,61
221,49,OH,250/500,500,1451.01,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2,NO,2810,5620,19670,Jeep,2012,N,46
222,50,IL,500/1000,1000,978.46,FEMALE,High School,sales,yachting,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,8920,8920,31220,Chevrolet,1995,N,43
223,50,IL,250/500,500,1198.34,MALE,Associate,sales,board-games,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,Unknown,1,1,NO,6340,6340,44380,Mercedes,1995,N,61
224,38,IN,100/300,2000,1003.23,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,Unknown,0,3,YES,12980,12980,51920,Accura,2008,N,47
225,41,IN,500/1000,2000,1212.0,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,7350,14700,51450,Jeep,1999,N,62
226,52,IL,250/500,1000,1242.96,FEMALE,High School,other-service,paintball,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,Unknown,6840,13680,68400,Accura,2010,N,44
227,52,IL,500/1000,1000,1053.02,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,Unknown,0,2,NO,12990,4330,30310,Toyota,2005,Y,60
228,53,IL,100/300,500,1693.63,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,6560,6560,45920,Saab,2015,N,45
229,37,IL,250/500,1000,2047.59,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,Unknown,0,3,NO,14460,7230,57840,Accura,2000,N,43
230,34,OH,100/300,1000,1083.72,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,4880,4880,43920,Honda,2005,N,61
231,46,OH,500/1000,1000,1138.42,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,3050,6100,24400,Volkswagen,2005,N,47
232,42,IN,250/500,500,1072.62,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,Unknown,2,1,YES,6910,6910,55280,Toyota,2006,N,44
233,35,IL,100/300,2000,1219.04,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,7380 5th Hwy,19,3,Unknown,2,0,NO,14500,14500,50750,Nissan,1999,N,45
234,28,IN,100/300,2000,1371.78,MALE,JD,farming-fishing,polo,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,PA,Riverwood,2539 Embaracadero Ridge,10,3,Unknown,0,2,YES,5360,10720,37520,Audi,2015,Y,45
235,54,IN,100/300,2000,1506.21,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,0,Unknown,12760,6380,57420,Nissan,2009,N,45
236,32,IN,100/300,1000,1058.21,MALE,JD,craft-repair,golf,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,4570,4570,31990,Dodge,1999,N,61
237,26,IL,500/1000,2000,932.14,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,NO,2,3,NO,14300,7150,57200,Audi,1996,Y,61
238,41,OH,500/1000,2000,1608.34,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,Unknown,1,1,Unknown,6460,12920,51680,Saab,2010,N,46
239,37,IN,500/1000,1000,1728.56,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,0,1,YES,1,1,Unknown,3530,3530,31770,Suburu,1999,N,61
240,43,IL,250/500,1000,1518.46,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,Unknown,0,0,YES,5350,5350,42800,Saab,2015,N,60
241,38,IL,100/300,2000,1540.19,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,YES,2,0,NO,7370,7370,58960,Chevrolet,2001,Y,46
242,40,OH,500/1000,2000,965.21,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,Parked Car,No Collision,Trivial Damage,,SC,Hillsdale,8404 Embaracadero St,10,1,Unknown,2,1,YES,630,630,5040,Nissan,2001,N,61
243,36,IL,100/300,2000,1278.75,FEMALE,College,tech-support,paintball,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,Unknown,2,2,NO,10900,10900,43600,Dodge,2012,N,46
244,28,OH,250/500,1000,773.99,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,Vehicle Theft,No Collision,Trivial Damage,,PA,Springfield,6359 MLK Ridge,3,1,YES,1,2,NO,640,320,2240,Mercedes,2014,N,45
245,51,IN,500/1000,1000,1532.47,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,7540,15080,52780,Dodge,2012,Y,45
246,28,IL,250/500,1000,1340.56,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,YES,6460,6460,45220,Saab,2008,N,43
247,44,OH,100/300,500,1297.75,FEMALE,JD,other-service,chess,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,Unknown,0,1,Unknown,15180,15180,68310,Chevrolet,2010,Y,45
248,27,IL,250/500,1000,433.33,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,Parked Car,No Collision,Minor Damage,,SC,Hillsdale,6067 Weaver Ridge,7,1,Unknown,0,3,NO,1180,590,4130,Mercedes,2009,N,60
249,30,IN,250/500,2000,1025.54,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,Unknown,1,3,YES,6410,6410,51280,Chevrolet,2001,N,44
250,28,OH,250/500,500,1264.77,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,Unknown,5040,10080,40320,Suburu,2009,Y,44
251,27,OH,250/500,500,1459.97,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,7350,14700,58800,Ford,2011,Y,44
252,40,OH,100/300,500,1238.65,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,Vehicle Theft,No Collision,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,680,680,6120,Saab,1998,N,46
253,61,OH,250/500,500,1050.76,MALE,PhD,transport-moving,movies,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,Unknown,2,3,NO,5960,5960,41720,Nissan,2004,Y,46
254,23,OH,500/1000,1000,1711.72,FEMALE,JD,tech-support,base-jumping,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,2,NO,5750,11500,46000,Chevrolet,2002,Y,46
255,57,IL,100/300,500,865.33,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,Unknown,9840,9840,39360,Dodge,1995,N,61
256,36,IL,250/500,500,1153.49,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,10100,5050,35350,Accura,2004,N,43
257,43,OH,500/1000,2000,1281.25,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,6410,12820,38460,Mercedes,2010,Y,46
258,40,IL,100/300,500,1342.8,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,No Collision,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,YES,1,3,YES,660,660,4620,Toyota,2014,N,43
259,30,OH,250/500,2000,1443.32,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,Unknown,0,2,YES,5310,5310,37170,Suburu,1995,Y,61
260,29,OH,250/500,1000,1629.94,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,No Collision,Trivial Damage,,SC,Riverwood,7828 Cherokee Ave,17,1,Unknown,0,1,NO,350,350,3150,Dodge,2014,N,62
261,31,IL,100/300,2000,1134.08,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,Unknown,2,0,Unknown,5900,5900,47200,Ford,2013,Y,44
262,43,OH,250/500,500,1483.91,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,NO,0,1,Unknown,7060,14120,49420,Volkswagen,2013,Y,43
263,40,IN,500/1000,2000,1304.67,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,Unknown,1,1,Unknown,5590,11180,44720,Dodge,2001,N,60
264,30,IL,500/1000,2000,1035.79,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,5240,10480,41920,Volkswagen,2010,N,45
265,57,IL,250/500,500,1401.2,FEMALE,High School,craft-repair,movies,own-child,51500,0,Vehicle Theft,No Collision,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,0,NO,1060,1060,4770,Audi,1999,N,61
266,45,IL,250/500,1000,1665.45,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,Unknown,2,2,Unknown,11840,5920,35520,Toyota,2006,Y,44
267,29,IN,500/1000,2000,653.66,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,Unknown,15660,7830,54810,BMW,2009,N,47
268,37,OH,100/300,500,1080.13,MALE,Associate,protective-serv,reading,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,4610,4610,32270,Nissan,2001,N,60
269,36,IN,100/300,2000,1346.18,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,12540,6270,50160,Chevrolet,2007,N,61
270,55,OH,250/500,2000,1589.54,MALE,College,handlers-cleaners,camping,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,Unknown,2,0,YES,17060,8530,59710,Toyota,2003,N,44
271,40,IL,100/300,1000,1251.65,FEMALE,Associate,other-service,camping,wife,71200,0,Parked Car,No Collision,Minor Damage,,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,560,280,2240,Audi,2012,N,43
272,47,IL,100/300,2000,1083.01,MALE,MD,craft-repair,paintball,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,Unknown,11040,11040,49680,Jeep,2010,Y,44
273,26,OH,100/300,500,974.59,FEMALE,JD,armed-forces,skydiving,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,Unknown,1,0,NO,11940,11940,35820,Nissan,2002,N,46
274,39,IL,500/1000,2000,1399.85,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,NO,0,2,Unknown,10820,10820,43280,Ford,1997,N,60
275,43,IN,500/1000,500,1307.74,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,Unknown,0,1,NO,4170,4170,29190,Jeep,2008,N,46
276,42,IN,250/500,2000,1219.27,MALE,Associate,tech-support,paintball,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,7120,7120,49840,Saab,2012,N,46
277,41,OH,100/300,500,1411.3,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,NO,1,0,Unknown,10980,5490,43920,BMW,2004,Y,47
278,33,IL,100/300,2000,694.45,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,Unknown,0,1,YES,5850,11700,46800,Nissan,2011,Y,45
279,38,IL,100/300,500,1006.77,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,14180,7090,49630,BMW,1997,N,47
280,39,OH,250/500,1000,1422.36,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,3,Unknown,7760,7760,31040,Nissan,2012,N,60
281,33,IN,100/300,1000,1348.32,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,Vehicle Theft,No Collision,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,NO,2,1,Unknown,860,860,3010,Chevrolet,2013,Y,46
282,40,OH,250/500,2000,1315.56,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,Vehicle Theft,No Collision,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,1240,1240,4340,Jeep,2003,N,47
283,58,OH,250/500,2000,1407.01,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,Unknown,0,2,Unknown,11980,5990,41930,BMW,1997,Y,47
284,36,OH,250/500,2000,1388.58,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,Unknown,1,3,YES,13260,13260,53040,Ford,2009,N,45
285,33,IL,500/1000,500,1310.76,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,Unknown,12780,6390,51120,Accura,2008,N,47
286,31,IN,100/300,1000,1004.63,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,5810,11620,46480,Suburu,1999,N,46
287,40,OH,100/300,500,1134.91,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,Vehicle Theft,No Collision,Trivial Damage,,SC,Riverwood,5901 Elm Drive,6,1,Unknown,1,0,NO,640,640,5120,Toyota,1997,N,45
288,25,IN,250/500,1000,1194.0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,7420,7420,51940,Ford,2013,Y,61
289,39,IN,500/1000,1000,1248.25,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,No Collision,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,NO,0,2,Unknown,1460,1460,5840,BMW,2013,N,60
290,42,OH,100/300,500,1338.54,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,YES,0,1,Unknown,8560,17120,68480,Chevrolet,1996,N,43
291,40,IL,250/500,2000,782.23,MALE,College,protective-serv,golf,other-relative,64200,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,Unknown,0,2,NO,5730,11460,34380,BMW,2010,N,44
292,31,IL,250/500,2000,1366.9,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,Unknown,1,0,NO,10540,10540,31620,BMW,2014,Y,45
293,34,IL,500/1000,1000,1275.81,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,YES,2,2,Unknown,15540,15540,69930,Mercedes,1998,N,47
294,37,IN,250/500,500,1090.65,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,Unknown,1,2,YES,5340,5340,42720,Honda,2010,Y,60
295,31,IN,250/500,500,1326.0,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,Unknown,1,2,NO,12020,12020,48080,Mercedes,2009,N,43
296,43,IL,250/500,2000,972.47,MALE,College,protective-serv,reading,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,YES,2,2,YES,7710,15420,53970,Audi,2010,N,44
297,39,IL,100/300,500,806.31,FEMALE,College,handlers-cleaners,dancing,wife,0,0,Parked Car,No Collision,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,Unknown,2,3,Unknown,600,0,2700,Dodge,2003,N,60
298,35,IL,500/1000,500,1416.24,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,Parked Car,No Collision,Minor Damage,,WV,Northbend,8078 Britain Hwy,7,1,YES,1,0,Unknown,1080,540,4320,Nissan,2003,N,44
299,27,IN,250/500,2000,1097.64,MALE,High School,transport-moving,video-games,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,NO,1,0,Unknown,7080,21240,35400,Accura,2006,N,61
300,43,IL,100/300,500,947.75,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,Vehicle Theft,No Collision,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,NO,1,3,NO,1280,640,5760,Audi,2008,N,45
301,31,IL,100/300,2000,1018.73,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,YES,1,2,Unknown,14420,21630,57680,Honda,2001,N,46
302,44,IL,100/300,2000,1400.74,MALE,College,sales,base-jumping,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,YES,0,2,Unknown,17460,17460,52380,Jeep,2013,N,61
303,40,IL,250/500,500,1155.53,MALE,JD,transport-moving,camping,wife,0,-35200,Parked Car,No Collision,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,Unknown,0,2,NO,1260,630,3780,Ford,1997,N,46
304,47,IN,250/500,500,1386.93,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,YES,0,0,NO,13160,6580,46060,Accura,2001,N,45
305,34,OH,100/300,500,915.29,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,Unknown,2,1,YES,4080,4080,28560,Honda,2009,Y,60
306,29,IL,250/500,500,1239.55,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,Unknown,1,1,YES,4800,9600,38400,Mercedes,1996,Y,46
307,37,IN,250/500,500,1366.42,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,NO,1,2,YES,5910,5910,47280,Nissan,1998,Y,47
308,37,OH,500/1000,1000,1086.48,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,Unknown,1,1,YES,14080,7040,56320,Suburu,1999,N,44
309,36,IL,250/500,2000,1247.87,MALE,Masters,armed-forces,golf,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,NO,2,2,NO,4570,4570,36560,BMW,2008,N,46
310,41,OH,100/300,2000,1312.75,FEMALE,PhD,sales,dancing,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,NO,2,2,YES,7340,14680,58720,Toyota,2014,Y,47
311,26,IN,100/300,2000,765.64,MALE,MD,sales,base-jumping,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,Unknown,0,3,Unknown,2850,5700,22800,Honda,2001,Y,46
312,33,OH,100/300,2000,1327.41,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,Unknown,0,0,Unknown,3500,7000,24500,Suburu,2012,N,44
